id,dep_delayed_15min
0,0.018701000803217082
1,0.05156331149013
2,0.04312343074707386
3,0.18533331783018647
4,0.19335089452515133
5,0.08825473992467055
6,0.075041145685607
7,0.2597919223060734
8,0.16927048277873885
9,0.360992508459584
10,0.10448996446945047
11,0.2511321746199384
12,0.23163431557719869
13,0.14669680959953413
14,0.057779916227049685
15,0.21681473092549963
16,0.06323804318206981
17,0.2519307160018857
18,0.35846378966559034
19,0.02255211118569818
20,0.23188242853862698
21,0.05977669866303353
22,0.22903096213679877
23,0.14092518197457493
24,0.3835891884116903
25,0.25444839830569455
26,0.005600079745935576
27,0.015111762918580612
28,0.29947795658639464
29,0.1677595818420905
30,0.07311595411621996
31,0.31953540614963916
32,0.06758575963025407
33,0.26906502228424806
34,0.4274482990120808
35,0.1329043167999856
36,0.2763387032460052
37,0.1066316126417564
38,0.036502831939626716
39,0.10463704382160016
40,0.17899538012178218
41,0.1546320528842843
42,0.14940359150801044
43,0.19452020016663382
44,0.11989739762284375
45,0.35420414787975557
46,0.012178645484106007
47,0.3407488146433371
48,0.5393949805521184
49,0.12943658212098458
50,0.35994764300766446
51,0.03879484786536934
52,0.1190744892976689
53,0.226708806171747
54,0.24382527970254997
55,0.07828493173903729
56,0.21277103706897288
57,0.3012262620245145
58,0.04219832021828016
59,0.20450474243118327
60,0.23494602586642557
61,0.08670077363638291
62,0.19611572548185438
63,0.32561633149341945
64,0.1900540420741536
65,0.07490487464733657
66,0.027732284454692946
67,0.07289325102663793
68,0.10746966494494736
69,0.22348811476022265
70,0.019299530254500357
71,0.20543786427010396
72,0.24511862047649455
73,0.30471852572091057
74,0.47238707195954144
75,0.17201393883344304
76,0.06824097435714473
77,0.11010133775517544
78,0.058410344931279654
79,0.08617448348065898
80,0.12962106248561903
81,0.1723605936789447
82,0.12801667635084713
83,0.07627777403983609
84,0.14820061835721227
85,0.00822958071475306
86,0.07668264011996746
87,0.11005236165048635
88,0.2968177667314179
89,0.175775861181122
90,0.13840764051597154
91,0.16523767918286575
92,0.12191537875518003
93,0.04964098354074055
94,0.1873353952772363
95,0.20453743495566779
96,0.24877583547383325
97,0.1043409796327215
98,0.23295697036443289
99,0.25804529659864966
100,0.15048479052622601
101,0.1977159021885454
102,0.060793723056918325
103,0.3217679279463998
104,0.020497772652094046
105,0.1735106599691985
106,0.2680848175261764
107,0.06603636753193796
108,0.1726869475608119
109,0.21398038305964096
110,0.25708564081399654
111,0.2873970610016064
112,0.636522503360336
113,0.03346191782279739
114,0.07109174040690308
115,0.154539743172032
116,0.13996369362431219
117,0.4291685828875598
118,0.08761797785170805
119,0.2380428346710105
120,0.42579126473624634
121,0.30307803537421263
122,0.1478911206064624
123,0.0992037333670085
124,0.16198852369649014
125,0.03977395270803886
126,0.04590602709306618
127,0.051686394191650636
128,0.12366376087270338
129,0.6525164173828568
130,0.3314586189367212
