id,dep_delayed_15min
0,0.024836905
1,0.06376091
2,0.034513507
3,0.21750031
4,0.20418891
5,0.08652041
6,0.06193932
7,0.24863109
8,0.16448624
9,0.24484383
10,0.26722592
11,0.21485808
12,0.10096065
13,0.22492093
14,0.075716265
15,0.23738724
16,0.0738338
17,0.26230308
18,0.37248936
19,0.01584699
20,0.15022221
21,0.021483127
22,0.21219435
23,0.18500265
24,0.29471365
25,0.3046819
26,0.013041795
27,0.03044411
28,0.32624796
29,0.22575675
30,0.15415457
31,0.25923368
32,0.029422965
33,0.28319836
34,0.33702856
35,0.22690831
36,0.23357189
37,0.22575675
38,0.13710915
39,0.25923368
40,0.18956883
41,0.26620921
42,0.24708806
43,0.29471365
44,0.18613955
45,0.25923368
46,0.011688497
47,0.14005262
48,0.33702856
49,0.15415457
50,0.28893027
51,0.064839944
52,0.1637305
53,0.31068715
54,0.33547488
55,0.084060125
56,0.20629787
57,0.29800904
58,0.08563083
59,0.309784
60,0.13847645
61,0.12806319
62,0.19246578
63,0.21219435
64,0.18936245
65,0.1851761
66,0.025619913
67,0.14096965
68,0.13021877
69,0.1890707
70,0.025992688
71,0.21840656
72,0.2658095
73,0.16415836
74,0.6108437
75,0.26230308
76,0.1109767
77,0.15600409
78,0.10425119
79,0.21219435
80,0.19246578
81,0.22575675
82,0.07495319
83,0.15311271
84,0.13239075
85,0.010352595
86,0.0738338
87,0.23535128
88,0.18087389
89,0.16415836
90,0.23129293
91,0.19246578
92,0.14005262
93,0.12202137
94,0.21840656
95,0.1578237
96,0.26387414
97,0.40144232
98,0.20308742
99,0.2858525
100,0.17441867
101,0.24469298
102,0.065795794
103,0.25384802
104,0.012586732
105,0.11587764
106,0.25923368
107,0.07575726
108,0.13710915
109,0.24484383
110,0.25503054
111,0.21487887
112,0.3719167
113,0.031942014
114,0.068256795
115,0.1600593
116,0.13710915
117,0.45660225
118,0.07511668
119,0.18801814
120,0.34772244
121,0.24582548
122,0.26230308
123,0.21219435
124,0.21750031
125,0.06704986
126,0.08352372
127,0.035434306
128,0.08352372
129,0.5376776
130,0.37248936
131,0.16835234
132,0.033628277
133,0.112953
134,0.029977325
135,0.25545567
136,0.32517514
137,0.19167924
138,0.0293829
139,0.07480743
140,0.2547374
141,0.14393654
142,0.22320588
143,0.31564087
144,0.131761
145,0.32517514
146,0.19246578
147,0.29128024
148,0.123206235
149,0.37521943
150,0.34354115
151,0.28319836
152,0.12806319
153,0.18087389
154,0.21557237
155,0.1682509
156,0.24484383
157,0.21584405
158,0.26387414
159,0.03083282
160,0.08352372
161,0.3096934
162,0.5823203
163,0.13021877
164,0.14406005
165,0.111225314
166,0.11865137
167,0.014098952
168,0.1342675
169,0.31564087
170,0.16087566
171,0.18087389
172,0.18936245
173,0.22690831
174,0.32184157
175,0.29471365
176,0.15600409
177,0.025992688
178,0.2684351
179,0.18936245
180,0.03226634
181,0.15618843
182,0.24806114
183,0.4731719
184,0.19491883
185,0.24863109
186,0.28091425
187,0.35941523
188,0.19246578
189,0.29471365
190,0.37169203
191,0.21584405
192,0.1640013
193,0.13459758
194,0.21219435
195,0.15757869
196,0.111225314
197,0.123775996
198,0.23357189
199,0.2935278
200,0.128546
201,0.2684351
202,0.3758857
203,0.0317832
204,0.013777244
205,0.24469298
206,0.49459925
207,0.013041795
208,0.19246578
209,0.18549162
210,0.025649171
211,0.070613
212,0.24723358
213,0.22575675
214,0.13710915
215,0.11700522
216,0.02957663
217,0.13330145
218,0.21584405
219,0.13239075
220,0.17415032
221,0.2866176
222,0.21320099
223,0.12806319
224,0.29471365
225,0.13710915
226,0.24723358
227,0.3420517
228,0.23535128
229,0.47182155
230,0.024035946
231,0.15624976
232,0.22582847
233,0.24767606
234,0.17415032
235,0.11409977
236,0.030533683
237,0.18122528
238,0.19246578
239,0.16415836
240,0.13021877
241,0.24333274
242,0.18087389
243,0.10278547
244,0.26620921
245,0.2386181
246,0.24582548
247,0.41940683
248,0.3658976
249,0.28091425
250,0.23708731
251,0.06193932
252,0.15600409
253,0.10725708
254,0.2978568
255,0.15415457
256,0.17415032
257,0.030521573
258,0.21584405
259,0.011575879
260,0.21840656
261,0.08477657
262,0.35308236
263,0.23738724
264,0.23738724
265,0.21584405
266,0.20932376
267,0.10725708
268,0.24582548
269,0.3355229
270,0.066448525
271,0.17560592
272,0.23738724
273,0.044078887
274,0.24142608
275,0.14005262
276,0.02243177
277,0.24863109
278,0.075716645
279,0.37325427
280,0.16847886
281,0.29471365
282,0.12956749
283,0.036630742
284,0.2745647
285,0.26830593
286,0.14393654
287,0.12202137
288,0.30584258
289,0.06253121
290,0.1603403
291,0.19774264
292,0.3096934
293,0.17560592
294,0.24582548
295,0.047238454
296,0.012381411
297,0.16415836
298,0.18205312
299,0.13890335
300,0.24582548
301,0.21584405
302,0.13021877
303,0.22690831
304,0.17415032
305,0.27157223
306,0.19166449
307,0.26230308
308,0.20815091
309,0.17058341
310,0.2714455
311,0.3383515
312,0.050942414
313,0.32853615
314,0.26830593
315,0.19246578
316,0.14274289
317,0.12232918
318,0.23535128
319,0.13330145
320,0.21750031
321,0.075716265
322,0.13330145
323,0.21750031
324,0.17441867
325,0.25923368
326,0.011575879
327,0.21584405
328,0.032621495
329,0.20166905
330,0.23984556
331,0.3226863
332,0.18768854
333,0.21557237
334,0.40454072
335,0.26018628
336,0.17415032
337,0.07651186
338,0.35401177
339,0.06376091
340,0.119731076
341,0.32517514
342,0.17441867
343,0.1852685
344,0.22582847
345,0.5467886
346,0.075716265
347,0.16879989
348,0.13710915
349,0.15022221
350,0.15323098
351,0.115091085
352,0.3226863
353,0.21219435
354,0.21219435
355,0.32949513
356,0.043518614
357,0.11031411
358,0.17441867
359,0.22575675
360,0.21557237
361,0.025649171
362,0.07575726
363,0.29471365
364,0.03735115
365,0.22575675
366,0.55198
367,0.1851761
368,0.29471365
369,0.13368127
370,0.14630474
371,0.1890707
372,0.2547374
373,0.16847886
374,0.28893027
375,0.065795794
376,0.2547374
377,0.4464692
378,0.19246578
379,0.14406005
380,0.5381817
381,0.28091425
382,0.05061328
383,0.22575675
384,0.17510775
385,0.3181895
386,0.20815091
387,0.03226634
388,0.07698138
389,0.03886194
390,0.32771882
391,0.07427467
392,0.19246578
393,0.010352595
394,0.1851761
395,0.34772244
396,0.011460399
397,0.011575879
398,0.027045222
399,0.06776106
400,0.16847886
401,0.06704986
402,0.13021877
403,0.012586732
404,0.079002075
405,0.0738338
406,0.28091425
407,0.13239075
408,0.2427656
409,0.30050007
410,0.115091085
411,0.011688497
412,0.25923368
413,0.20180322
414,0.4015085
415,0.20815091
416,0.3096934
417,0.2547374
418,0.16384172
419,0.34665942
420,0.20815091
421,0.074182004
422,0.0293829
423,0.032621495
424,0.29563704
425,0.1851761
426,0.18857129
427,0.24723358
428,0.15411253
429,0.19227594
430,0.29471365
431,0.12202137
432,0.025649171
433,0.16415836
434,0.18188332
435,0.06293718
436,0.27157223
437,0.4601201
438,0.20815091
439,0.23738724
440,0.09008559
441,0.16384172
442,0.22690831
443,0.18712413
444,0.18188332
445,0.06335788
446,0.111225314
447,0.12202137
448,0.16930634
449,0.31496876
450,0.3333352
451,0.24057755
452,0.24582548
453,0.013777244
454,0.036020175
455,0.14788297
456,0.35659748
457,0.10947441
458,0.15411253
459,0.23155874
460,0.07495319
461,0.025992688
462,0.08239516
463,0.15624976
464,0.29800904
465,0.1851761
466,0.26830593
467,0.13710915
468,0.12202137
469,0.03253752
470,0.012958805
471,0.22085923
472,0.25923368
473,0.33875155
474,0.3181895
475,0.14406005
476,0.065367624
477,0.18002918
478,0.32184157
479,0.29612875
480,0.08352372
481,0.20815091
482,0.18122528
483,0.13239075
484,0.2684351
485,0.16415836
486,0.13330145
487,0.32263342
488,0.065795794
489,0.23129293
490,0.321129
491,0.53133565
492,0.25666443
493,0.18087389
494,0.26123938
495,0.3420517
496,0.23738724
497,0.025992688
498,0.091712326
499,0.2526419
500,0.3420517
501,0.12796007
502,0.19246578
503,0.18500265
504,0.26387414
505,0.27157223
506,0.25217697
507,0.11587764
508,0.1489905
509,0.18087389
510,0.13710915
511,0.33971718
512,0.5089584
513,0.052583974
514,0.10358058
515,0.22575675
516,0.19490567
517,0.24582548
518,0.1855163
519,0.13239075
520,0.061202154
521,0.29612875
522,0.13062394
523,0.3808993
524,0.13710915
525,0.3178198
526,0.06572404
527,0.011460399
528,0.23266505
529,0.031998917
530,0.13021877
531,0.21931419
532,0.15411253
533,0.19232887
534,0.23535128
535,0.32517514
536,0.16835234
537,0.18016958
538,0.1851761
539,0.24708806
540,0.19255096
541,0.23738724
542,0.32517514
543,0.46927562
544,0.11307857
545,0.33596277
546,0.039402705
547,0.20094357
548,0.17568296
549,0.42807403
550,0.53133565
551,0.21219435
552,0.21584405
553,0.24786499
554,0.14005262
555,0.17415032
556,0.049851157
557,0.064467125
558,0.2858525
559,0.065367624
560,0.13595064
561,0.07358034
562,0.28319836
563,0.23738724
564,0.065367624
565,0.29471365
566,0.041853048
567,0.33702856
568,0.2541942
569,0.032621495
570,0.23738724
571,0.032621495
572,0.261689
573,0.2507349
574,0.15624976
575,0.030369598
576,0.013041795
577,0.08352372
578,0.07495319
579,0.24708806
580,0.075716645
581,0.29471365
582,0.20737123
583,0.24469298
584,0.2978568
585,0.19246578
586,0.18500265
587,0.2557189
588,0.23738724
589,0.38438585
590,0.24140385
591,0.13239075
592,0.15722398
593,0.065367624
594,0.13330145
595,0.37325427
596,0.123775996
597,0.21699694
598,0.21840656
599,0.26620921
600,0.030369598
601,0.08352372
602,0.3181895
603,0.1048832
604,0.025992688
605,0.28893027
606,0.065367624
607,0.070613
608,0.3046819
609,0.36457345
610,0.29563704
611,0.025649171
612,0.21557237
613,0.21287994
614,0.07651186
615,0.26387414
616,0.12166628
617,0.06948286
618,0.23738724
619,0.21699694
620,0.3333352
621,0.3226863
622,0.024161162
623,0.032621495
624,0.010352595
625,0.15784056
626,0.18087389
627,0.4699353
628,0.50852716
629,0.17423311
630,0.32138643
631,0.13710915
632,0.21219435
633,0.14005262
634,0.20235944
635,0.21750031
636,0.22690831
637,0.064839944
638,0.32184157
639,0.065367624
640,0.06842663
641,0.23027897
642,0.18884614
643,0.2427656
644,0.37169203
645,0.24142608
646,0.2978568
647,0.20629787
648,0.069571786
649,0.010352595
650,0.14407028
651,0.13526016
652,0.26920033
653,0.26830593
654,0.15155303
655,0.18087389
656,0.1600593
657,0.075716645
658,0.32184157
659,0.07495319
660,0.06704986
661,0.20234022
662,0.18188332
663,0.16425206
664,0.3284908
665,0.21750031
666,0.23129293
667,0.033526983
668,0.123775996
669,0.21391498
670,0.064839944
671,0.24708806
672,0.32517514
673,0.7349587
674,0.03253752
675,0.19246578
676,0.22575675
677,0.4015085
678,0.22197863
679,0.1851761
680,0.08352372
681,0.0584492
